dt,AverageTemperature,AverageTemperatureUncertainty
1753-01-01,-4.668,6.167000000000002
1753-02-01,-3.262,3.215
1753-03-01,4.35,3.174
1753-04-01,9.356,5.567
1753-05-01,15.066,2.5540000000000003
1753-06-01,19.538,2.802
1753-07-01,20.69,2.497
1753-08-01,18.899,5.737
1753-09-01,15.379,2.34
1753-10-01,9.83,2.46
1753-11-01,2.8960000000000004,3.105
1753-12-01,-4.21,3.529
1754-01-01,-4.728,2.9760000000000004
1754-02-01,-5.17,4.34
1754-03-01,1.3130000000000002,3.5210000000000004
1754-04-01,10.887,6.113
1754-05-01,15.265,3.469
1754-06-01,19.293,2.273
1754-07-01,19.779,2.92
1754-08-01,18.8,4.14
1754-09-01,14.446,3.293
1754-10-01,10.454,2.62
1754-11-01,4.311,2.364
1754-12-01,-0.612,2.834
1755-01-01,-7.197,4.834
1755-02-01,-5.795,4.364
1755-03-01,2.521,4.163
1755-04-01,11.129,3.934
1755-05-01,15.682,3.09
1755-06-01,20.779,3.669
1755-07-01,20.435,2.562
1755-08-01,18.342,3.2230000000000003
1755-09-01,14.654000000000002,2.278
1755-10-01,9.034,6.25
1755-11-01,3.793,6.147
1755-12-01,-1.64,6.511
1756-01-01,-1.5080000000000002,4.57
1756-02-01,1.347,4.063
1756-03-01,3.577,6.042000000000002
1756-04-01,9.964,2.758
1756-05-01,15.675,5.025
1756-06-01,20.427,3.537
1756-07-01,20.458,2.708
1756-08-01,18.361,7.561
1756-09-01,16.018,3.321
1756-10-01,8.591999999999999,3.257
1756-11-01,1.7939999999999996,3.855
1756-12-01,-3.155,2.802
1757-01-01,-5.836,2.942
1757-02-01,-0.1849999999999999,4.178
1757-03-01,3.511,3.813
1757-04-01,9.744,5.481
1757-05-01,15.628,3.718
1757-06-01,21.737,3.877
1757-07-01,23.774,5.606
1757-08-01,20.238,3.958
1757-09-01,15.547,6.75
1757-10-01,5.949,8.882
1757-11-01,2.648,4.31
1757-12-01,-4.148,8.615
1758-01-01,-7.981999999999998,2.54
1758-02-01,-3.025,3.23
1758-03-01,2.576,4.19
1758-04-01,7.92,6.832000000000002
1758-05-01,13.802,4.864
1758-06-01,18.723,4.755
1758-07-01,19.22,6.807
1758-08-01,17.886,5.691
1758-09-01,12.93,3.238
1758-10-01,5.7010000000000005,9.505
1758-11-01,3.743,7.131
1758-12-01,-1.412,5.287000000000001
1759-01-01,-0.9640000000000004,5.682
1759-02-01,-0.2909999999999999,6.667999999999998
1759-03-01,3.276,3.508
1759-04-01,7.612,5.186
1759-05-01,13.281,3.29
1759-06-01,18.928,5.188
1759-07-01,20.03700000000001,4.276
1759-08-01,20.114,5.898
1759-09-01,15.630999999999998,5.533
1759-10-01,9.316,4.218
1759-11-01,1.025,5.285
1759-12-01,-5.334,7.257999999999999
1760-01-01,-5.984,4.005
1760-02-01,-2.728,3.006
1760-03-01,0.6640000000000001,7.995
1760-04-01,8.706,5.225
1760-05-01,14.155,3.761
1760-06-01,17.695999999999994,2.954
1760-07-01,19.402,3.894
1760-08-01,19.35,6.626
1760-09-01,15.623,4.71
1760-10-01,8.676,4.557
1760-11-01,3.1100000000000003,3.254
1760-12-01,-1.027,3.254
1761-01-01,-4.964,5.602
1761-02-01,-0.93,3.759
1761-03-01,4.945,2.469
1761-04-01,7.717,4.008
1761-05-01,16.322,4.581
1761-06-01,21.04,2.688
1761-07-01,22.841,5.699
1761-08-01,20.307,3.503
1761-09-01,16.413,4.021
1761-10-01,8.075,4.4430000000000005
1761-11-01,2.43,2.794
1761-12-01,-5.468,2.608
1762-01-01,-0.3719999999999999,2.817
1762-02-01,-0.1029999999999999,7.178
1762-03-01,1.217,4.249
1762-04-01,10.286,3.643
1762-05-01,14.479,5.519
1762-06-01,19.372,5.6370000000000005
1762-07-01,20.857,3.125
1762-08-01,18.341,2.982
1762-09-01,14.166,6.72
1762-10-01,7.172000000000001,3.852
1762-11-01,3.931,2.74
1762-12-01,-3.5580000000000003,5.0310000000000015
1763-01-01,-5.847,5.638999999999999
1763-02-01,-1.075,4.097
1763-03-01,0.6480000000000001,6.192
1763-04-01,8.301,2.661
1763-05-01,13.675999999999998,3.201
1763-06-01,17.287,5.178
1763-07-01,21.58,2.772
1763-08-01,19.861,3.377
1763-09-01,13.811,3.152
1763-10-01,6.3870000000000005,5.317
1763-11-01,2.213,3.478
1763-12-01,0.0829999999999999,2.834
1764-01-01,-2.498,4.839
1764-02-01,1.852,3.38
1764-03-01,2.891,3.584
1764-04-01,8.1,4.288
1764-05-01,15.239,6.332000000000002
1764-06-01,17.493,3.276
1764-07-01,19.729,4.763
1764-08-01,18.042,2.48
1764-09-01,14.15,4.695
1764-10-01,9.269,3.199
1764-11-01,3.549,3.556
1764-12-01,0.8180000000000001,3.915
1765-01-01,-0.4790000000000001,8.38
1765-02-01,-2.198,4.114
1765-03-01,4.798,3.245
1765-04-01,9.878,2.5380000000000003
1765-05-01,13.492,2.894
1765-06-01,17.294999999999998,3.353
1765-07-01,18.439,3.796
1765-08-01,19.244,3.069
1765-09-01,14.644,2.555
1765-10-01,9.227,2.326
1765-11-01,4.302,3.734
1765-12-01,-1.711,2.9130000000000003
1766-01-01,-6.722,6.057
1766-02-01,-1.884,4.227
1766-03-01,3.863,3.127
1766-04-01,9.698,3.415
1766-05-01,15.417,3.167
1766-06-01,18.794,5.888999999999999
1766-07-01,18.935,3.899
1766-08-01,19.17,3.386
1766-09-01,15.72,3.594
1766-10-01,8.697000000000001,2.699
1766-11-01,5.607,4.758
1766-12-01,-2.045,3.724
1767-01-01,-8.851,5.884
1767-02-01,-1.125,6.684
1767-03-01,4.027,6.977
1767-04-01,6.689,5.462999999999999
1767-05-01,13.406,2.9
1767-06-01,18.386,3.524
1767-07-01,19.917,3.814
1767-08-01,19.781,2.7110000000000003
1767-09-01,15.232,3.897
1767-10-01,9.719,3.069
1767-11-01,6.282,6.654
1767-12-01,-3.283,4.806
1768-01-01,-8.354,9.842
1768-02-01,-4.845,6.482
1768-03-01,0.472,5.086
1768-04-01,8.396,3.748
1768-05-01,12.767,2.833
1768-06-01,17.259,4.461
1768-07-01,20.039,4.331
1768-08-01,18.694000000000003,2.471
1768-09-01,14.253,4.319
1768-10-01,8.187999999999999,5.222
1768-11-01,3.382,4.5280000000000005
1768-12-01,-1.435,5.747000000000001
1769-01-01,-1.742,4.71
1769-02-01,-2.18,3.609
1769-03-01,2.65,5.212999999999999
1769-04-01,9.469,5.702999999999999
1769-05-01,14.918,7.359
1769-06-01,19.622,4.243
1769-07-01,20.083,5.205
1769-08-01,18.995,4.617
1769-09-01,15.3,2.397
1769-10-01,5.313999999999999,3.1630000000000003
1769-11-01,2.516,2.345
1769-12-01,-2.922,3.808
1770-01-01,-3.927000000000001,5.925
1770-02-01,-1.3630000000000002,3.415
1770-03-01,-0.2469999999999999,3.961
1770-04-01,9.72,10.144
1770-05-01,13.813,2.544
1770-06-01,17.319000000000003,3.792
1770-07-01,18.011,6.794
1770-08-01,17.957,4.181
1770-09-01,15.385,3.037
1770-10-01,10.08,4.609
1770-11-01,4.555,5.522
1770-12-01,1.2280000000000002,8.01
1771-01-01,-1.1950000000000005,6.419
1771-02-01,-5.571000000000001,3.954
1771-03-01,-0.1579999999999999,6.742000000000001
1771-04-01,5.891,6.257999999999999
1771-05-01,14.716,9.006
1771-06-01,18.534,3.128
1771-07-01,19.563,2.407
1771-08-01,19.307,2.905
1771-09-01,15.52,2.55
1771-10-01,10.258,2.596
1771-11-01,1.475,4.448
1771-12-01,-0.7849999999999999,3.605
1772-01-01,-2.394,6.643
1772-02-01,-1.403,8.316
1772-03-01,2.9210000000000003,4.239
1772-04-01,9.669,4.14
1772-05-01,12.827,2.4530000000000003
1772-06-01,18.543,4.332
1772-07-01,20.875,3.2430000000000003
1772-08-01,19.796,4.271
1772-09-01,15.438,3.439
1772-10-01,10.344,2.759
1772-11-01,6.768000000000002,5.011
1772-12-01,1.331,3.487
1773-01-01,-4.17,3.077
1773-02-01,-2.7310000000000003,3.244
1773-03-01,2.002,2.644
1773-04-01,9.778,3.434
1773-05-01,16.808,3.545
1773-06-01,17.509,2.421
1773-07-01,19.56,2.741
1773-08-01,18.797,2.619
1773-09-01,16.483999999999998,2.7880000000000003
1773-10-01,10.787,2.7230000000000003
1773-11-01,2.843,5.801
1773-12-01,1.906,5.069
1774-01-01,-4.662,7.103
1774-02-01,-0.469,6.4270000000000005
1774-03-01,3.934,3.136
1774-04-01,11.363,5.0280000000000005
1774-05-01,17.528,2.5580000000000003
1774-06-01,20.317,6.067
1774-07-01,21.776,6.2810000000000015
1774-08-01,20.099,3.039
1774-09-01,14.707,3.161
1774-10-01,8.811,4.31
1774-11-01,-0.5489999999999995,5.811
1774-12-01,-3.815,5.053999999999999
1775-01-01,-3.0410000000000004,4.717
1775-02-01,1.332,4.776
1775-03-01,5.308,2.918
1775-04-01,7.524,2.262
1775-05-01,13.34,3.611
1775-06-01,18.706,4.502
1775-07-01,20.717,2.46
1775-08-01,21.387,2.212
1775-09-01,16.097,3.484
1775-10-01,11.269,3.12
1775-11-01,5.37,6.252000000000002
1775-12-01,-2.176,2.407
1776-01-01,-7.356,5.1110000000000015
1776-02-01,0.5580000000000003,3.559
1776-03-01,3.571,3.45
1776-04-01,8.056000000000001,2.295
1776-05-01,13.313,3.508
1776-06-01,18.588,3.705
1776-07-01,19.919,3.026
1776-08-01,20.088,4.337
1776-09-01,14.315,3.266
1776-10-01,8.036,3.452
1776-11-01,2.89,5.347
1776-12-01,-1.493,3.754
1777-01-01,-2.764,3.867
1777-02-01,-1.556,3.646
1777-03-01,3.3520000000000003,2.5580000000000003
1777-04-01,6.492999999999999,2.3080000000000003
1777-05-01,14.945,3.637
1777-06-01,17.798,3.114
1777-07-01,18.361,2.4330000000000003
1777-08-01,18.852,2.327
1777-09-01,14.029000000000002,4.648
1777-10-01,7.792000000000001,4.977
1777-11-01,4.353,2.611
1777-12-01,-1.052,2.855
1778-01-01,-1.4220000000000002,4.0
1778-02-01,-1.3030000000000002,3.262
1778-03-01,3.232,4.234
1778-04-01,11.789,2.275
1778-05-01,15.203,3.212
1778-06-01,17.424,5.635
1778-07-01,21.266,2.314
1778-08-01,19.278,3.222
1778-09-01,15.205,2.181
1778-10-01,8.564,5.818
1778-11-01,3.168,4.494
1778-12-01,0.857,3.3080000000000003
1779-01-01,-5.363,3.59
1779-02-01,1.294,7.6560000000000015
1779-03-01,4.7490000000000006,3.771
1779-04-01,11.217,3.959
1779-05-01,17.212,2.408
1779-06-01,16.595,3.812
1779-07-01,18.274,2.984
1779-08-01,18.987,3.743
1779-09-01,15.806,3.201
1779-10-01,10.18,3.597
